Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,P/E Ratio,P/B Ratio,Dividend Yield,Dividend Payout Ratio,ROE,ROA,Beta,Market Capitalization,Revenue Growth,Debt-to-Equity Ratio,Free Cash Flow,Current Ratio,Quick Ratio,PEG Ratio,Standard Deviation,Value at Risk (VaR),Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Downside Deviation,Tracking Error,R-squared,Treynor Ratio,Information Ratio,Conditional Value at Risk (CVaR),Beta-adjusted Sharpe Ratio,Drawdown Duration,Ulcer Index,Jensens Alpha
2012-01-03 00:00:00-05:00,23.223291505449215,23.262774099858127,22.63760959189666,22.736318588256836,1742700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-04 00:00:00-05:00,22.703419972912883,22.775808090422686,22.558643737893274,22.670516967773438,1416700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-05 00:00:00-05:00,22.637606387351315,22.894253256030286,22.49283020077855,22.795541763305664,1518200,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-06 00:00:00-05:00,22.8613520581178,22.90741675558525,22.604702658936347,22.696834564208984,1704700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-09 00:00:00-05:00,22.69683722836076,22.74290193123528,22.60470531227369,22.70341682434082,734700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-10 00:00:00-05:00,22.82844999141677,22.848193800690968,22.65077076997765,22.709997177124023,1474100,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-11 00:00:00-05:00,22.67051397838021,22.696837383156044,22.48625265528742,22.525737762451172,789800,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-12 00:00:00-05:00,22.60469932995655,22.644184426401306,22.525731647404406,22.598119735717773,987100,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-13 00:00:00-05:00,22.348053855027995,22.512571334838867,22.209859774467866,22.512571334838867,1068000,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-17 00:00:00-05:00,22.670511734905453,22.90083522805606,22.545476829762723,22.571800231933594,1019700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-18 00:00:00-05:00,22.565225354981344,22.584966655568532,22.34148141041937,22.45993423461914,1087900,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-19 00:00:00-05:00,22.49283426260724,22.49283426260724,22.295413751844702,22.440187454223633,1099800,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-20 00:00:00-05:00,22.50599596470314,22.644190071203116,22.367801858203162,22.440187454223633,1338000,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-23 00:00:00-05:00,22.400704364563392,22.604704466708732,22.354639663411998,22.538898468017578,1554600,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-24 00:00:00-05:00,22.387545807702416,22.42044881167012,22.288834285461007,22.32173728942871,752600,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-25 00:00:00-05:00,22.203281769453827,22.788963637858053,22.124311566047773,22.74289894104004,1226700,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-26 00:00:00-05:00,22.78238702676585,22.98638966925699,22.70341931465309,22.887678146362305,805800,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-27 00:00:00-05:00,22.52573676621176,22.729739378695037,22.486251660794306,22.538898468017578,1313400,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-30 00:00:00-05:00,22.433614161993532,22.5454848957364,22.321740917911963,22.374387741088867,1411300,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-01-31 00:00:00-05:00,22.459937573581982,22.512581886420186,22.236193595757545,22.374387741088867,2217500,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-01 00:00:00-05:00,22.492831189106855,22.604701876128622,22.394119692044878,22.505992889404297,2120100,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-02 00:00:00-05:00,22.525733232564907,22.782380101672924,22.37437745104832,22.64418601989746,3049500,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-03 00:00:00-05:00,22.78897070381158,22.848197119561025,22.644194463015488,22.808712005615234,1652500,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-06 00:00:00-05:00,22.756072255821092,22.854781294951096,22.723166732438774,22.815296173095703,1386100,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-07 00:00:00-05:00,22.756067513857925,23.065358784421203,22.703420695688074,22.986391067504883,1045000,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-08 00:00:00-05:00,22.979803465342524,22.99954727260449,22.45993006708416,22.78238296508789,2480400,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-09 00:00:00-05:00,22.775805858352836,22.881096970683366,22.637611744107414,22.841611862182617,1342900,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-10 00:00:00-05:00,22.788509482259986,22.808422894144652,22.60264168651403,22.742040634155273,1617600,0.3,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-13 00:00:00-05:00,22.868162433227525,22.87479939217723,22.642467845578448,22.755313873291016,1743800,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
2012-02-14 00:00:00-05:00,22.73540928300808,22.788515104100586,22.569457390431378,22.781875610351562,1588600,0.0,0.0,0.05633498812864235,2.4330971,0.0359,0.746,0.11181,0.03213,0.405,29398509568,-0.032,151.895,-320312512,0.74,0.42,2.65,0.20589593549890456,-0.018800128281976636,0.48573321341761805,0.6120626401659762,-0.3230518944232018,0.013755806250867976,0.24550392580953784,0.09624882112587392,0.0009799186202185924,-0.0014679752489564911,-0.02978650080149177,1.613064593357671,466,0.09763918803973057,0.042547001948858645
